Batch #5293,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130420,A0131420,Ladies Aquaman Graphic T-Shirt,,Others,Unbranded,Unbranded,No Logo,Ladies Aquaman Graphic T-Shirt-130420,L,L,Excellent,No,Black,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,30,15,0.115,,Migration_T-Shirt,cat_tshirt,66,96,,,14,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130421,A0131421,Ladies Nike Dri-Fit Running T-Shirt,,Nike,Branded,HB,Small Logo,Ladies Nike Dri-Fit Running T-Shirt-130421,L,L,Very Good,No,Gray,WOMEN,TShirts,Sports T-Shirts,Thrift,,25,,0.109,,Migration_T-Shirt,cat_tshirt,62,102,,,18,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5293
130422,A0131422,Ladies Bershka High Waist Cuff Pants,,Others,Unbranded,Unbranded,No Logo,Ladies Bershka High Waist Cuff Pants-130422,EUR: 40 US: 08,M,Excellent,No,Black,WOMEN,Pants,Casual Pants,Thrift,,30,19,0.493,,Migration_Pants,cat_pants,99,,,82,,1,,,,,98,,,,,,,,,,,,,,,,2,,,,,,,,100,5293
130423,A0131423,Ladies Polo Ralph Lauren Stripe T-Shirt,,Ralph Lauren,Branded,HB,No Logo,Ladies Polo Ralph Lauren Stripe T-Shirt-130423,S/P,XS,Excellent,No,Black,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,29,,0.107,,Migration_T-Shirt,cat_tshirt,57,82,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130424,A0131424,Ladies MNG Skinny Denim Pants,,Mango,Branded,CB,No Logo,Ladies MNG Skinny Denim Pants-130424,EUR: 38 US: 6,XS,Excellent,No,Blue,WOMEN,Jeans,Skinny Jeans,Thrift,,30,9,0.591,,Migration_Pants,cat_jeans,103,,,70,,1,,,,,93,,2,,,,,,,,,,5,,,,,,,,,,,,100,5293
130425,A0131425,Ladies Under Armour Coldgear Crop Leggings,,Under Armour,Branded,MB,No Logo,Ladies Under Armour Coldgear Crop Leggings-130425,L,L,Excellent,No,Black,WOMEN,ActiveWears,Exercise Pants,Thrift,,25,,0.178,,Migration_Pants,cat_activewear ,84,,,88,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130426,A0131426,Ladies Black Polka Dot Stretch Ankle Pants,,Others,Unbranded,Unbranded,No Logo,Ladies Black Polka Dot Stretch Ankle Pants-130426,4,S,Excellent,No,Black,WOMEN,Pants,Casual Pants,Thrift,,23,12,0.281,,Migration_Pants,cat_pants,80,,,78,,1,,,,,,,,,,,,,,21,,,,,76,,3,,,,,,,,100,5293
130427,A0131427,Ladies Dockers Plaid Mid-Rise Curvy Crop Pants,,Dockers,Branded,MB,No Logo,Ladies Dockers Plaid Mid-Rise Curvy Crop Pants-130427,8,XS,Excellent,No,Gray,WOMEN,Pants,Casual Pants,Thrift,,25,6,0.286,,Migration_Pants,cat_pants,75,,,76,,1,,,,,97,,,,,,,,,,,,,,,,3,,,,,,,,100,5293
130428,A0131428,Ladies Tommy Hilfiger Skinny Denim Pants,,Tommy Hilfiger,Branded,HB / V,No Logo,Ladies Tommy Hilfiger Skinny Denim Pants-130428,8,S,Excellent,No,Blue,WOMEN,Jeans,Skinny Jeans,Thrift,,35,4,0.429,,Migration_Pants,cat_jeans,93,,,78,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130429,A0131429,Ladies Lululemon Black Pleated Shorts,,Lulu Lemon,Branded,Exclusive,No Logo,Ladies Lululemon Black Pleated Shorts-130429,2,XS,Excellent,No,Black,WOMEN,Shorts,Casual Shorts ,Thrift,,30,16,0.217,,Migration_Shorts,cat_shorts,43,,,60,,1,,,,,,,,,,,,,,,,,86,,,,14,,,,,,,,100,5293
