Batch #5294,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130482,A0131482,Ladies Strappy Scarf Crop Top,,Others,Unbranded,Unbranded,No Logo,Ladies Strappy Scarf Crop Top-130482,,S,Excellent,No,Multi Color,WOMEN,BlousesTops,Crop Tops,Thrift,,23,11,0.056,,Migration_Blouse,cat_blouse_tops ,45,90,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130483,A0131483,Ladies Rue21 Sleeveless Knit Cardigan,,Others,Unbranded,Unbranded,No Logo,Ladies Rue21 Sleeveless Knit Cardigan-130483,XL,XL,Excellent,No,Brown,WOMEN,Sweaters,Short Cardigans,Thrift,,23,15,0.113,,Migration_Sweaters,cat_sweater,72,104,,,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130484,A0131484,Ladies Dynamite Fringed Kimono Cardigan,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Fringed Kimono Cardigan-130484,XS-S,XXL,Excellent,No,Multi Color,WOMEN,Sweaters,Kimono Cardigans,Thrift,,23,10,0.133,,Migration_Sweaters,cat_sweater,77,140,,,42,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130485,A0131485,Ladies Tahari Floral Cardigan,,Tahari,Branded,HB,No Logo,Ladies Tahari Floral Cardigan-130485,S-M,M,Excellent,No,Navy Blue,WOMEN,Sweaters,Short Cardigans,Thrift,,27,5,0.188,,Migration_Sweaters,cat_sweater,84,92,,,44,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130486,A0131486,Ladies BCBG Maxazria Crochet Cardigan,,BCBG,Branded,Exclusive,No Logo,Ladies BCBG Maxazria Crochet Cardigan-130486,L,L,Excellent,No,Black,WOMEN,Sweaters,Long Cardigans,Thrift,,28,14,0.339,,Migration_Sweaters,cat_sweater,104,96,,,68,1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,5294
130487,A0131487,Ladies Sienna Sky Animal Print Button Down Flare Dress,,Others,Unbranded,Unbranded,No Logo,Ladies Sienna Sky Animal Print Button Down Flare Dress-130487,M,S,Excellent,No,Multi Color,WOMEN,Dresses,Midi Dresses,Thrift,,28,16,0.266,,Migration_Dress,cat_dresses,117,88,,,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130488,A0131488,Ladies MNG Flare Dress,,Mango,Branded,CB,No Logo,Ladies MNG Flare Dress-130488,XS,XS,Excellent,Yes,Brown,WOMEN,Dresses,Long Dresses,Thrift,,28,10,0.249,,Migration_Dress,cat_dresses,121,80,,,58,1,,,,,,,,,,,,,,,,,13,,,,,,87,,,,,,100,5294
130489,A0131489,Ladies So Close Neck Knitted Sweater Top,,Others,Unbranded,Unbranded,No Logo,Ladies So Close Neck Knitted Sweater Top-130489,S,S,Excellent,No,Black,WOMEN,BlousesTops,Casual Short Sleeves,Thrift,,22,10,0.116,,Migration_Blouse,cat_blouse_tops ,45,86,,,14,1,,,,,,,,,,,,,,,,,62,,33,,5,,,,,,,,100,5294
130490,A0131490,Ladies Lulus Floral Smocked Puff Sleeve Top,,Others,Unbranded,Unbranded,No Logo,Ladies Lulus Floral Smocked Puff Sleeve Top-130490,XS,XS,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,23,11,0.119,,Migration_Blouse,cat_blouse_tops ,42,80,,,47,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130491,A0131491,Ladies La Senza Plaid Push Up Bra,,La Senza,Branded,HB,No Logo,Ladies La Senza Plaid Push Up Bra-130491,70/32B,,Excellent,No,Multi Color,WOMEN,Nightwears,Bra,Thrift,,25,2,0.047,,Migration_Nightwear and Lingerie,cat_nightwear_lingerie,,,,,,1,,,,,,,15,,,,,,,,,85,,,,,,,,,,,,,100,5294
130492,A0131492,Ladies Puma Racerback Padded Sports Bra,,Puma,Branded,CB,Small Logo,Ladies Puma Racerback Padded Sports Bra-130492,M,M,Excellent,No,Gray,WOMEN,ActiveWears,Sports Bra,Thrift,,25,7,0.105,,Migration_Blouse,cat_activewear ,31,92,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130493,A0131493,Ladies Nike Gray Racerback Sports Bra,,Nike,Branded,HB,Small Logo,Ladies Nike Gray Racerback Sports Bra-130493,L,L,Excellent,No,Gray,WOMEN,ActiveWears,Sports Bra,Thrift,,28,,0.093,,Migration_Blouse,cat_activewear ,30,96,,,,1,,,,,,,,,,,,,,,,,88,,,,12,,,,,,,,100,5294
