Batch #5294,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130450,A0131450,Ladies Adidas V-Neck Crop T-Shirt,,Adidas,Branded,MB,Small Logo,Ladies Adidas V-Neck Crop T-Shirt-130450,XL,XL,Excellent,No,Gray,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,25,,0.126,,Migration_T-Shirt,cat_tshirt,52,110,,,17,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130451,A0131451,Ladies H&M Leopard Print Long Sleeve Blouse,,H & M,Branded,CB,No Logo,Ladies H&M Leopard Print Long Sleeve Blouse-130451,XS,L,Excellent,No,Brown,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,25,9,0.159,,Migration_Blouse,cat_blouse_tops ,69,100,,,59,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130452,A0131452,Ladies Pull & Bear Back Tie Crop Top,,Pull & Bear,Branded,CB,No Logo,Ladies Pull & Bear Back Tie Crop Top-130452,EUR: M,M,Excellent,No,Blue,WOMEN,BlousesTops,Crop Tops,Thrift,,23,7,0.108,,Migration_Blouse,cat_blouse_tops ,38,94,,,26,1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,5294
130453,A0131453,Ladies Revamped Floral Crop Top,,Others,Unbranded,Unbranded,No Logo,Ladies Revamped Floral Crop Top-130453,L,L,Excellent,No,Multi Color,WOMEN,BlousesTops,Crop Tops,Thrift,,23,11,0.106,,Migration_Blouse,cat_blouse_tops ,26,96,,,14,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5294
130454,A0131454,Ladies Forever 21 Floral Off-Shoulder Top,,Forever 21,Branded,CB,No Logo,Ladies Forever 21 Floral Off-Shoulder Top-130454,S,S,Excellent,No,Multi Color,WOMEN,BlousesTops,Off-Shoulders,Thrift,,23,7,0.145,,Migration_Blouse,cat_blouse_tops ,35,86,,,38,1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,5294
130455,A0131455,Ladies Valleygirl Floral Top,,Others,Unbranded,Unbranded,No Logo,Ladies Valleygirl Floral Top-130455,10,S,Excellent,No,Pink,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,23,11,0.109,,Migration_Blouse,cat_blouse_tops ,50,90,,,58,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130456,A0131456,Ladies Abercrombie Ruched Sleeve Blouse,,Abercrombie,Branded,MB,No Logo,Ladies Abercrombie Ruched Sleeve Blouse-130456,S,S,Excellent,No,Blue,WOMEN,BlousesTops,Casual Short Sleeves,Thrift,,25,5,0.138,,Migration_Blouse,cat_blouse_tops ,58,88,,,30,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130457,A0131457,Ladies Dynamite Floral Long Sleeve Wrap Top,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Floral Long Sleeve Wrap Top-130457,P/S,S,Excellent,No,Black,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,25,9,0.185,,Migration_Blouse,cat_blouse_tops ,55,88,,,59,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130458,A0131458,Ladies Suzy Shier Floral Batwing Top,,Others,Unbranded,Unbranded,No Logo,Ladies Suzy Shier Floral Batwing Top-130458,,M,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Short Sleeves,Thrift,,23,11,0.214,,Migration_Blouse,cat_blouse_tops ,64,92,,,37,1,,,,,,,,,,,,,,,,,92,,,,8,,,,,,,,100,5294
130459,A0131459,Ladies Abercrombie Polka Dot Wrap Top,,Abercrombie,Branded,MB,No Logo,Ladies Abercrombie Polka Dot Wrap Top-130459,XS,XS,Excellent,No,Brown,WOMEN,BlousesTops,Crop Tops,Thrift,,23,3,0.125,,Migration_Blouse,cat_blouse_tops ,45,82,,,23,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130460,A0131460,Ladies No Boundaries Plaid Long Sleeve Shirt Blouse,,Others,Unbranded,Unbranded,No Logo,Ladies No Boundaries Plaid Long Sleeve Shirt Blouse-130460,S,S,Excellent,No,Black,WOMEN,BlousesTops,Flannel Blouses,Thrift,,20,8,0.164,,Migration_Blouse,cat_blouse_tops ,69,86,,,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130461,A0131461,Ladies Streetwear Society Long Sleeve Top,,Others,Unbranded,Unbranded,No Logo,Ladies Streetwear Society Long Sleeve Top-130461,L,L,Excellent,No,Black,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,23,11,0.151,,Migration_Blouse,cat_blouse_tops ,43,96,,,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130462,A0131462,Ladies Dynamite Stripe Long Sleeve Wrap Top,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Stripe Long Sleeve Wrap Top-130462,XS,XS,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,25,9,0.274,,Migration_Blouse,cat_blouse_tops ,61,82,,,59,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130463,A0131463,Ladies U2B Off-Shoulder Top,,Others,Unbranded,Unbranded,No Logo,Ladies U2B Off-Shoulder Top-130463,L,L,Excellent,No,Pink,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,22,10,0.134,,Migration_Blouse,cat_blouse_tops ,41,102,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130464,A0131464,Ladies Aeropostale Off-Shoulder Crop Top,,Aeropostale,Branded,CB,No Logo,Ladies Aeropostale Off-Shoulder Crop Top-130464,M,XS,Excellent,No,Multi Color,WOMEN,BlousesTops,Crop Tops,Thrift,,23,7,0.094,,Migration_Blouse,cat_blouse_tops ,31,82,,,12,1,,,,,60,,,,,,,,40,,,,,,,,,,,,,,,,100,5294
130465,A0131465,Ladies Dynamite Puff Sleeve Top,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Puff Sleeve Top-130465,XS,XS,Excellent,No,Multi Color,WOMEN,BlousesTops,Crop Tops,Thrift,,25,9,0.151,,Migration_Blouse,cat_blouse_tops ,42,82,,,49,1,,,,,,,,,,,,,,,,,97,,,,3,,,,,,,,100,5294
130466,A0131466,Ladies Dotti Long Sleeve Linen Shirt Blouse,,Others,Unbranded,Unbranded,No Logo,Ladies Dotti Long Sleeve Linen Shirt Blouse-130466,10,L,Very Good,No,Blue,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,23,17,0.247,,Migration_Blouse,cat_blouse_tops ,68,102,,,58,1,,,,,,,,,,,,,,,,,,,,,,,70,,30,,,,100,5294
130467,A0131467,Ladies Dynamite Floral Front Tie  Sleeveless Crop Top,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Floral Front Tie  Sleeveless Crop Top-130467,G/L,L,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Sleeveless,Thrift,,22,6,0.157,,Migration_Blouse,cat_blouse_tops ,50,96,,,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130468,A0131468,Ladies MNG Strappy Pleated Top,,Mango,Branded,CB,No Logo,Ladies MNG Strappy Pleated Top-130468,EUR: S US: XS,XS,Excellent,No,Peach,WOMEN,BlousesTops,Casual Sleeveless,Thrift,,22,6,0.1,,Migration_Blouse,cat_blouse_tops ,58,,,82,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130469,A0131469,Ladies Cotton On Short Sleeve Crop T-Shirt,,Cotton On,Branded,MB,No Logo,Ladies Cotton On Short Sleeve Crop T-Shirt-130469,S/P,S,Excellent,No,Gray,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,23,,0.077,,Migration_T-Shirt,cat_tshirt,44,86,,,13,1,,,,,,,5,,,,,,,,,,,,,,,,95,,,,,,100,5294
130470,A0131470,Ladies Guess Yellow Knitted Top,,Guess,Branded,MB,No Logo,Ladies Guess Yellow Knitted Top-130470,S,S,Excellent,No,Yellow,WOMEN,BlousesTops,Casual Short Sleeves,Thrift,,26,6,0.16,,Migration_Blouse,cat_blouse_tops ,48,86,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130471,A0131471,Ladies Guess Stripe Long Sleeve Top,,Guess,Branded,MB,No Logo,Ladies Guess Stripe Long Sleeve Top-130471,XS,S,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,26,6,0.12,,Migration_Blouse,cat_blouse_tops ,48,90,,,59,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130472,A0131472,Ladies Puma Black Sports Bra,,Puma,Branded,CB,No Logo,Ladies Puma Black Sports Bra-130472,M,M,Excellent,No,Black,WOMEN,ActiveWears,Sports Bra,Thrift,,22,6,0.097,,Migration_Blouse,cat_activewear ,35,92,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130473,A0131473,Ladies Nike Black Racerback Sports Bra,,Nike,Branded,HB,Small Logo,Ladies Nike Black Racerback Sports Bra-130473,M,M,Excellent,No,Black,WOMEN,ActiveWears,Sports Bra,Thrift,,28,,0.105,,Migration_Blouse,cat_activewear ,27,92,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130474,A0131474,Ladies PINK Padded Black Racerback Sports Bra,With removable pads,PINK,Branded,HB,No Logo,Ladies PINK Padded Black Racerback Sports Bra-130474,L,L,Excellent,No,Black,WOMEN,ActiveWears,Sports Bra,Thrift,,26,,0.084,,Migration_Blouse,cat_activewear ,33,96,,,,1,,,,,,,6,,,,,,,,,53,41,,,,,,,,,,,,100,5294
130475,A0131475,Ladies Jay Jays Floral Smocked Crop Top,,Others,Unbranded,Unbranded,No Logo,Ladies Jay Jays Floral Smocked Crop Top-130475,,S,Excellent,No,Multi Color,WOMEN,BlousesTops,Crop Tops,Thrift,,22,10,0.151,,Migration_Blouse,cat_blouse_tops ,45,86,,,26,1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,5294
130476,A0131476,Ladies Cupshe Halter One Piece Swimsuit,,Others,Unbranded,Unbranded,No Logo,Ladies Cupshe Halter One Piece Swimsuit-130476,0X,L,Very Good,No,Multi Color,WOMEN,Swimwears,Swimwears,Thrift,,20,18,0.214,,Migration_Swimwear,cat_swimwear,69,96,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130477,A0131477,Ladies Paisley Print Wide Leg Overlap Pants,,Others,Unbranded,Unbranded,No Logo,Ladies Paisley Print Wide Leg Overlap Pants-130477,M,M,Excellent,No,Multi Color,WOMEN,Pants,Casual Pants,Thrift,,25,14,0.322,,Migration_Pants,cat_pants,104,,,86,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
130478,A0131478,Ladies Guess Printed Bodysuit,,Guess,Branded,MB,No Logo,Ladies Guess Printed Bodysuit-130478,L,M,Excellent,No,Multi Color,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,26,6,0.259,,Migration_Blouse,cat_blouse_tops ,73,92,,,70,1,,,,,,,,,,,,,,,,,88,,,,12,,,,,,,,100,5294
130479,A0131479,Ladies Dynamite Batwing Long Sleeve Bodysuit,,Dynamite,Branded,CB,No Logo,Ladies Dynamite Batwing Long Sleeve Bodysuit-130479,P/S,M,Excellent,No,Black,WOMEN,BlousesTops,Casual Long Sleeves,Thrift,,25,9,0.13,,Migration_Blouse,cat_blouse_tops ,67,94,,,69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130480,A0131480,Ladies BCBG Maxzaria Snake Skin Print Short Dress,,BCBG,Branded,Exclusive,No Logo,Ladies BCBG Maxzaria Snake Skin Print Short Dress-130480,XS,S,Excellent,No,Multi Color,WOMEN,Dresses,Mini Dresses,Thrift,,30,15,0.206,,Migration_Dress,cat_dresses,98,90,,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5294
130481,A0131481,Ladies Forever 21 Strappy Floral Wrap Dress,,Forever 21,Branded,CB,No Logo,Ladies Forever 21 Strappy Floral Wrap Dress-130481,M,S,Excellent,No,Multi Color,WOMEN,Dresses,Mini Dresses,Thrift,,28,14,0.258,,Migration_Dress,cat_dresses,106,90,,,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5294
