Batch #5292,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130362,A0131362,Mens Tommy Hilfiger Classic Straight Denim Pants,,Tommy Hilfiger,Branded,HB / V,No Logo,Mens Tommy Hilfiger Classic Straight Denim Pants-130362,32/30,M,Excellent,No,Blue,MEN,Jeans,Straight Jeans,Thrift,,37,,0.681,,Migration_Pants,cat_jeans,100,,,80,,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130363,A0131363,Mens Champion Red Mesh Sports Shorts,,Champion,Branded,MB,No Logo,Mens Champion Red Mesh Sports Shorts-130363,S,S,Excellent,No,Red,MEN,Shorts,Sports Shorts,Thrift,,25,,0.211,,Migration_Shorts,cat_shorts,50,,,74,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130364,A0131364,Mens Nautica Classic Fit Checkered Long Sleeve Shirt,,Nautica,Branded,CB,No Logo,Mens Nautica Classic Fit Checkered Long Sleeve Shirt-130364,M,L,Excellent,No,Green,MEN,Shirts,Long Sleeve Shirts,Thrift,,27,10,0.206,,Migration_Shirt,cat_shirts,74,106,,,66,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130365,A0131365,Mens G-Star Taper Skinny Denim Pants,,Others,Unbranded,Unbranded,No Logo,Mens G-Star Taper Skinny Denim Pants-130365,32/32,M,Excellent,No,Blue,MEN,Jeans,Skinny Jeans,Thrift,,35,10,0.656,,Migration_Pants,cat_jeans,106,,,82,,1,,,,,98,,2,,,,,,,,,,,,,,,,,,,,,,100,5292
130366,A0131366,Mens Adidas Orange Stripe Black Sports Shorts,,Adidas,Branded,MB,Small Logo,Mens Adidas Orange Stripe Black Sports Shorts-130366,M,M,Very Good,No,Black,MEN,Shorts,Sports Shorts,Thrift,,25,4,0.345,,Migration_Shorts,cat_shorts,56,,,78,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130367,A0131367,Mens DSG Printed Shorts,,Others,Unbranded,Unbranded,No Logo,Mens DSG Printed Shorts-130367,XL,XL,Excellent,No,Multi Color,MEN,Shorts,Casual Shorts ,Thrift,,23,12,0.181,,Migration_Shorts,cat_shorts,46,,,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130368,A0131368,Mens Chaps Stripe Long Sleeve Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Chaps Stripe Long Sleeve Shirt-130368,S/P,M,Excellent,No,Gray,MEN,Shirts,Long Sleeve Shirts,Thrift,,27,14,0.212,,Migration_Shirt,cat_shirts,77,102,,,62,1,,,,,60,,,,,,,,,,,,40,,,,,,,,,,,,100,5292
130369,A0131369,Mens Old Navy Black Stripe Mesh Shorts,,Old Navy,Branded,CB,No Logo,Mens Old Navy Black Stripe Mesh Shorts-130369,,S,Excellent,No,Maroon,MEN,Shorts,Sports Shorts,Thrift,,23,2,0.171,,Migration_Shorts,cat_shorts,45,,,74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130370,A0131370,Mens Jack & Jones Regular Fit Black Denim Pants,,Others,Unbranded,Unbranded,No Logo,Mens Jack & Jones Regular Fit Black Denim Pants-130370,30/32,M,Very Good,No,Black,MEN,Jeans,Straight Jeans,Thrift,,30,13,0.542,,Migration_Pants,cat_jeans,100,,,76,,1,,,,,99,,1,,,,,,,,,,,,,,,,,,,,,,100,5292
130371,A0131371,Mens U.S Polo Assn Black Collar T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens U.S Polo Assn Black Collar T-Shirt-130371,M,L,Excellent,No,Black,MEN,TShirts,Collar T-Shirts,Thrift,,27,10,0.259,,Migration_T-Shirt,cat_tshirt,80,108,,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130372,A0131372,Mens Nike Dri-Fit Printed Running Shorts,,Nike,Branded,HB,No Logo,Mens Nike Dri-Fit Printed Running Shorts-130372,XL,L,Excellent,No,Multi Color,MEN,Shorts,Sports Shorts,Thrift,,31,,0.188,,Migration_Shorts,cat_shorts,45,,,88,,1,,,,,,,,,,,,,,,,,86,,,,14,,,,,,,,100,5292
130373,A0131373,Mens Adidas White Stripes Black Sports Shorts,,Adidas,Branded,MB,No Logo,Mens Adidas White Stripes Black Sports Shorts-130373,M,L,Very Good,No,Black,MEN,Shorts,Sports Shorts,Thrift,,23,4,0.125,,Migration_Shorts,cat_shorts,43,,,88,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130374,A0131374,Mens Oakley Regular Fit Shorts,,Oakley,Branded,MB,No Logo,Mens Oakley Regular Fit Shorts-130374,US/EU: 36,L,Excellent,No,Gray,MEN,Shorts,Casual Shorts ,Thrift,,27,8,0.263,,Migration_Shorts,cat_shorts,53,,,92,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130375,A0131375,Ladies Adidas Sweat Jogger Pants,,Adidas,Branded,MB,No Logo,Ladies Adidas Sweat Jogger Pants-130375,M,M,Excellent,No,Black,WOMEN,Pants,Jogger Pants,Thrift,,30,9,0.339,,Migration_Pants,cat_pants,95,,,82,,1,,,,,52,,,,,,,,,,,,48,,,,,,,,,,,,100,5292
